,age,gender,number_of_promotions,overtime,distance_from_home,number_of_dependents,company_tenure,remote_work,leadership_opportunities,innovation_opportunities,attrition,years_at_company_log,monthly_income_capped,job_role_Finance,job_role_Healthcare,job_role_Media,job_role_Technology,work-life_balance_Fair,work-life_balance_Good,work-life_balance_Poor,job_satisfaction_Low,job_satisfaction_Medium,job_satisfaction_Very High,performance_rating_Below Average,performance_rating_High,performance_rating_Low,education_level_Bachelor’s Degree,education_level_High School,education_level_Master’s Degree,education_level_PhD,marital_status_Married,marital_status_Single,job_level_Mid,job_level_Senior,company_size_Medium,company_size_Small,company_reputation_Fair,company_reputation_Good,company_reputation_Poor,employee_recognition_Low,employee_recognition_Medium,employee_recognition_Very High
0,31,1,2,0,22,0,89,0,0,0,1,2.995732273553991,5390.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False
1,59,0,3,0,21,3,21,0,0,0,1,1.6094379124341003,5534.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False
2,24,0,0,0,11,3,74,0,0,0,1,2.3978952727983707,8159.0,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False
3,36,0,1,0,27,2,50,1,0,0,1,2.0794415416798357,3989.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,True,False
4,56,1,0,1,71,0,68,0,0,0,1,3.7376696182833684,4821.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False
5,38,0,3,0,37,0,47,0,0,1,0,1.3862943611198906,9977.0,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False
6,47,1,1,1,75,3,93,0,0,0,0,3.1780538303479458,3681.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False
7,48,1,2,0,5,4,88,0,0,0,1,2.833213344056216,11223.0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
8,57,1,1,1,39,4,75,0,0,0,1,3.8066624897703196,3773.0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
9,24,0,1,1,57,4,45,0,0,1,0,0.6931471805599453,7319.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
10,30,0,1,0,51,1,17,0,0,0,0,2.5649493574615367,5443.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
